accuracy,alpha
0.981717451524,1.1
0.981163434903,1.2
0.981163434903,1.3
0.981163434903,1.4
0.981163434903,1.5
0.981163434903,1.6
0.981163434903,1.7
0.981717451524,1.8
0.981717451524,1.9
0.981717451524,2.0
0.981717451524,2.1
0.981717451524,2.2
0.981717451524,2.3
0.981717451524,2.4
0.981717451524,2.5
0.981717451524,2.6
0.981717451524,2.7
0.981717451524,2.8
0.981717451524,2.9
0.982271468144,3.0
0.982271468144,3.1
0.982271468144,3.2
0.982825484765,3.3
0.982825484765,3.4
0.982825484765,3.5
0.982825484765,3.6
0.982825484765,3.7
0.982825484765,3.8
0.982825484765,3.9
0.982825484765,4.0
0.983379501385,4.1
0.983379501385,4.2
0.983379501385,4.3
0.983379501385,4.4
0.983933518006,4.5
0.983379501385,4.6
0.983379501385,4.7
0.983379501385,4.8
0.983379501385,4.9
0.983379501385,5.0
0.983379501385,5.1
0.983379501385,5.2
0.982825484765,5.3
0.982825484765,5.4
0.982825484765,5.5
0.982825484765,5.6
0.982825484765,5.7
0.982825484765,5.8
0.982825484765,5.9
0.982825484765,6.0
0.982825484765,6.1
0.982825484765,6.2
0.982825484765,6.3
0.982825484765,6.4
0.982825484765,6.5
0.982825484765,6.6
0.982825484765,6.7
0.982825484765,6.8
0.982825484765,6.9
0.982825484765,7.0
0.982825484765,7.1
0.982825484765,7.2
0.982825484765,7.3
0.982825484765,7.4
0.982825484765,7.5
0.982825484765,7.6
0.982271468144,7.7
0.982271468144,7.8
0.982271468144,7.9
0.981717451524,8.0
0.981717451524,8.1
0.981717451524,8.2
0.981163434903,8.3
0.980609418283,8.4
0.980609418283,8.5
0.981163434903,8.6
0.981163434903,8.7
0.980609418283,8.8
0.980609418283,8.9
0.980609418283,9.0
0.980609418283,9.1
0.981163434903,9.2
0.981163434903,9.3
0.981163434903,9.4
0.981163434903,9.5
0.981163434903,9.6
0.981163434903,9.7
0.981163434903,9.8
0.981163434903,9.9
0.981163434903,10.0
0.981163434903,10.1
